Fehezanteny,Sokajinteny
"""Ary Andriamanitra nanao hoe: Indro, efa nomeko anareo ny anana manintsam-boa rehetra izay ambonin'ny tany rehetra ary ny hazo rehetra izay misy voa sady manintsam-boa; dia ho fihinana anareo ireny.""",Mpampitohy Anarana Matoanteny Tambinteny Tenim-piotanana Tambinteny Matoanteny Mpisolo Mpanoritra Anarana Matoanteny Anarana Mpamaritra Mpisolo Tambinteny Mpanoritra Anarana Mpamaritra Mpampitohy Mpanoritra Anarana Mpamaritra Mpisolo Matoanteny Anarana Mpampitohy Matoanteny Anarana Kianteny Mpampitohy Matoanteny Mpisolo Mpisolo
"""Ary ny amin'ny bibi-dia rehetra sy ny voro-manidina rehetra ary ny zava-manan'aina rehetra izay mandady na mikisaka amin'ny tany, dia efa nomeko azy ny zava-maitso rehetra ho fihinany; dia nisy izany.""",Mpampitohy Mpanoritra Tambinteny Mpanoritra Anarana Anarana Mpamaritra Mpampitohy Mpanoritra Anarana Matoanteny Mpamaritra Mpampitohy Mpanoritra Anarana Matoanteny Anarana Mpamaritra Mpisolo Matoanteny Mpampitohy Matoanteny Tambinteny Mpanoritra Anarana Mpampitohy Tambinteny Matoanteny Mpisolo Mpanoritra Anarana Mpamaritra Mpamaritra Kianteny Matoanteny Mpampitohy Matoanteny Mpisolo
"""Ary hitan'Andriamanitra izay rehetra nataony, ary, indro, tsara indrindra izany.""",Mpampitohy Matoanteny Anarana Mpisolo Mpamaritra Matoanteny Mpampitohy Tenim-piotanana Mpamaritra Tambinteny Mpisolo
"""Dia nisy ny hariva, ary nisy maraina, andro fahenina izany.""",Mpampitohy Matoanteny Mpanoritra Anarana Mpampitohy Matoanteny Anarana Anarana Tambinteny Mpisolo
"""Ary hitan'Andriamanitra izay rehetra nataony, ary, indro, tsara indrindra izany.""",Mpampitohy Matoanteny Anarana Mpisolo Mpamaritra Matoanteny Mpampitohy Tenim-piotanana Mpamaritra Tambinteny Mpisolo
"""Dia nisy ny hariva, ary nisy maraina, andro fahenina izany.""",Mpampitohy Matoanteny Mpanoritra Anarana Mpampitohy Matoanteny Anarana Anarana Tambinteny Mpisolo
"""Dia vita ny lanitra sy ny tany sy izay rehetra ao aminy.""",Mpampitohy Matoanteny Mpanoritra Anarana Mpampitohy Mpanoritra Anarana Mpampitohy Mpisolo Mpamaritra Tambinteny Mpampiankina
"""Ary tamin'ny andro fahafito dia vitan'Andriamanitra ny asa efa nataony; ary dia nitsahatra tamin'ny andro fahafito Izy tamin'ny asany rehetra izay efa nataony.""",Mpampitohy Mpampiankina Mpanoritra Anarana Tambinteny Kianteny Matoanteny Anarana Mpanoritra Anarana Tambinteny Matoanteny Mpampitohy Kianteny Matoanteny Mpampiankina Mpanoritra Anarana Tambinteny Mpisolo Mpampiankina Mpanoritra Anarana Mpamaritra Mpisolo Tambinteny Matoanteny
"""Ary Andriamanitra nitahy ny andro fahafito sy nanamasina azy, satria tamin'izany no nitsaharan'Andriamanitra tamin'ny asany rehetra izay noforoniny tamin'ny nanaovany azy.""",Mpampitohy Anarana Matoanteny Mpanoritra Anarana Tambinteny Mpampitohy Matoanteny Mpisolo Mpampitohy Mpampiankina Mpisolo Kianteny Matoanteny Anarana Mpampiankina Mpanoritra Anarana Mpamaritra Mpisolo Matoanteny Mpampiankina Mpanoritra Matoanteny Mpisolo
"""Ny saha tao Edena, sy ny toetry ny olombelona fony tsy mbola nanota izy.""",Mpanoritra Anarana Tambinteny Anarana Mpampitohy Mpanoritra Anarana Mpanoritra Anarana Mpampitohy Tambinteny Tambinteny Matoanteny Mpisolo 
"""Ary izao no tantaran'ny lanitra sy ny tany tamin'ny namoronana azy, dia tamin'ny nanaovan'i Jehovah Andriamanitra ny tany sy ny lanitra: Ny hazo madinika famboly dia tsy mbola nisy teo amin'ny tany, ary ny anana famboly tsy mbola nisy naniry; fa tsy mbola nampilatsaka ranonorana tambonin'ny tany Jehovah Andriamanitra, ary nisy olona hiasa ny tany; nefa nisy zavona niakatra avy tamin'ny tany ka nandena ny tany rehetra.""",Mpampitohy Mpisolo Kianteny Anarana Mpanoritra Anarana Mpampitohy Mpanoritra Anarana Mpampiankina Mpanoritra Matoanteny Mpisolo Mpampitohy Mpampiankina Mpanoritra Matoanteny Mpanoritra Anarana Anarana Mpanoritra Anarana Mpampitohy Mpanoritra Anarana Mpanoritra Anarana Mpamaritra Anarana Kianteny Tambinteny Tambinteny Matoanteny Tambinteny Mpampiankina Mpanoritra Anarana Mpampitohy Mpanoritra Anarana Anarana Tambinteny Kianteny Matoanteny Matoanteny Tambinteny Tambinteny Kianteny Matoanteny Anarana Mpampiankina Mpanoritra Anarana Anarana Anarana Mpampitohy Matoanteny Anarana Matoanteny Mpanoritra Anarana Mpampitohy Matoanteny Anarana Matoanteny Mpamaritra Mpampiankina Mpanoritra Anarana Kianteny Matoanteny Mpanoritra Anarana Mpamaritra
"""Ary vovo-tany no namoronan'i Jehovah Andriamanitra ny olona, ary nofofoniny fofonaina mahavelona ny vavorony; dia tonga olombelona izy.""",Mpampitohy Anarana Anarana Kianteny Matoanteny Mpanoritra Anarana Anarana Mpanoritra Anarana Mpampitohy Matoanteny Anarana Matoanteny Mpanoritra Anarana Mpampitohy Matoanteny Anarana Mpisolo
"""Ary Jehovah Andriamanitra nanao saha tao Edena tany atsinanana, ka napetrany tao ralehilahy izay noforoniny.""",Mpampitohy Anarana Anarana Matoanteny Anarana Tambinteny Anarana Tambinteny Anarana Kianteny Matoanteny Tambinteny Anarana Mpisolo Matoanteny
"""Ary nampanirin'i Jehovah Andriamanitra teo amin'ny tany ny hazo rehetra izay maha-te-hizaha sady tsara ho fihinana, ary ny hazon'aina teo afovoan'ny saha sy ny hazo fahalalana ny tsara sy ny ratsy.""",Mpampitohy Matoanteny Mpanoritra Anarana Anarana Tambinteny Mpampiankina Mpanoritra Anarana Mpanoritra Anarana Mpamaritra Mpisolo Matoanteny Matoanteny Matoanteny Mpampitohy Mpamaritra Kianteny Matoanteny Mpampitohy Mpanoritra Matoanteny Anarana Tambinteny Tambinteny Mpanoritra Anarana Mpampitohy Mpanoritra Anarana Anarana Mpanoritra Anarana Mpampitohy Mpanoritra Anarana
"""Ary nisy ony nivoaka avy tao Edena handena ny saha; hatreo izy dia nizara ka nisampana efatra: ny anaran'ny voalohany dia Pisona; io no mandeha manodidina ny tany Havila rehetra, izay misy ny volamena; ary tsara ny volamena amin'izany tany izany; any ny bedola sy ny vato beryla.""",Mpampitohy Matoanteny Anarana Matoanteny Mpamaritra Tambinteny Anarana Matoanteny Mpanoritra Anarana Tambinteny Mpisolo Kianteny Matoanteny Kianteny Matoanteny Mpamaritra Mpanoritra Anarana Mpanoritra Tambinteny Kianteny Anarana Mpisolo Kianteny Matoanteny Matoanteny Mpanoritra Anarana Anarana Mpamaritra Mpisolo Matoanteny Mpanoritra Anarana Mpampitohy Mpamaritra Mpanoritra Anarana Mpampiankina Mpanoritra Anarana Mpisolo Tambinteny Mpanoritra Anarana Mpampitohy Mpanoritra Anarana Anarana
"""Ary ny anaran'ny ony faharoa dia Gihona; io no mandeha manodidina ny tany Kosy rehetra.""",Mpampitohy Mpanoritra Anarana Mpanoritra Anarana Tambinteny Kianteny Anarana Mpisolo Kianteny Matoanteny Tambinteny Mpanoritra Anarana Anarana Mpamaritra
"""Ary ny anaran'ny ony fahatelo dia Hidekela; io no mandeha tandrifin'i Asyria.""",Mpampitohy Mpanoritra Anarana Mpanoritra Anarana Tambinteny Kianteny Anarana Mpisolo Kianteny Matoanteny Mpampiankina Mpanoritra Anarana
"""Ary ny ony fahefatra dia Eofrata.""",Mpampitohy Mpanoritra Anarana Tambinteny Kianteny Anarana
"""Ary Jehovah Andriamanitra nitondra an-dralehilahy ka namponina azy tao amin'ny saha Edena hiasa sy hitandrina azy.""",Mpampitohy Anarana Anarana Matoanteny Mpampiankina Anarana Kianteny Matoanteny Mpisolo Tambinteny Mpampiankina Mpanoritra Anarana Anarana Matoanteny Mpampitohy Matoanteny Mpisolo
"""Ary Jehovah Andriamanitra nandidy an-dralehilahy ka nanao hoe: Ny hazo rehetra eo amin'ny saha dia azonao ihinanana ihany; fa ny hazo fahalalana ny tsara sy ny ratsy dia aza ihinanana; fa amin'ny andro izay ihinananao azy dia ho faty tokoa ianao.""",Mpampitohy Anarana Anarana Matoanteny Mpampiankina Anarana Kianteny Matoanteny Tambinteny Mpanoritra Anarana Mpamaritra Tambinteny Mpampiankina Mpanoritra Anarana Kianteny Matoanteny Matoanteny Tambinteny Tambinteny Mpanoritra Anarana Anarana Mpanoritra Anarana Mpampitohy Mpanoritra Anarana Kianteny Kianteny Matoanteny Tambinteny Mpampiankina Mpanoritra Anarana Mpisolo Matoanteny Mpisolo Kianteny Tambinteny Anarana Tambinteny Mpisolo 
"""Ary Jehovah Andriamanitra nanao hoe: Tsy tsara raha irery ralehilahy; dia hanaovako vady sahaza ho azy izy.""",Mpampitohy Anarana Anarana Matoanteny Tambinteny Tambinteny Mpamaritra Mpampitohy Mpamaritra Anarana Kianteny Matoanteny Anarana Mpamaritra Kianteny Mpisolo Mpisolo
"""Ary tany no namoronan'i Jehovah Andriamanitra ny bibi-dia rehetra sy ny voro-manidina rehetra; dia nentiny tany amin-dralehilahy ireny hahitany izay hanononany azy avy; ary izay rehetra nanononan-dralehilahy ny zava-manan'aina rehetra, dia izany no anarany.""",Mpampitohy Tambinteny Kianteny Matoanteny Mpanoritra Anarana Anarana Mpanoritra Anarana Anarana Mpamaritra Mpampitohy Mpanoritra Anarana Mpamaritra Mpamaritra Kianteny Matoanteny Tambinteny Mpampiankina Anarana Mpisolo Matoanteny Mpisolo Matoanteny Mpisolo Mpamaritra Mpampitohy Mpisolo Mpamaritra Matoanteny Anarana Mpanoritra Anarana Anarana Anarana Mpamaritra Mpampitohy Mpisolo Kianteny Anarana
"""Dia nomen-dralehilahy anarana ny biby fiompy rehetra sy ny voro-manidina mbamin'ny bibi-dia rehetra; nefa tsy hita izay vady sahaza ho an-dralehilahy.""",Mpampitohy Matoanteny Anarana Anarana Mpanoritra Anarana Anarana Mpamaritra Mpampitohy Mpanoritra Anarana Mpamaritra Mpampiankina Mpanoritra Anarana Mpamaritra Mpamaritra Mpampitohy Tambinteny Matoanteny Mpisolo Anarana Mpamaritra Kianteny Tambinteny Anarana 
"""Ary Jehovah Andriamanitra nahasondrian-tory an-dralehilahy, ka dia natory izy; dia naka ny taolan-tehezany anankiray Izy ka nanakombona nofo ho solony.""",Mpampitohy Anarana Anarana Matoanteny Anarana Mpampiankina Anarana Kianteny Kianteny Matoanteny Mpisolo Mpampitohy Matoanteny Mpanoritra Anarana Anarana Mpamaritra Mpisolo Kianteny Matoanteny Anarana Kianteny Anarana
"""Ary ny taolan-tehezana izay nalain'i Jehovah Andriamanitra tamin-dralehilahy dia nataony vehivavy ka nentiny tany amin-dralehilahy.""",Mpampitohy Mpanoritra Anarana Anarana Mpisolo Matoanteny Mpanoritra Anarana Anarana Mpampiankina Anarana Mpampitohy Matoanteny Anarana Kianteny Matoanteny Tambinteny Mpampiankina Anarana
"""Ary hoy ralehilahy: Ankehitriny dia taolana avy amin'ny taolako sy nofo avy amin'ny nofoko ity; ity dia hatao hoe vehivavy satria lehilahy no nanalana azy.""",Mpampitohy Mpamaritra Anarana Tambinteny Kianteny Anarana Mpamaritra Mpampiankina Mpanoritra Anarana Mpampitohy Anarana Mpamaritra Mpampiankina Mpanoritra Anarana Mpisolo Mpisolo Kianteny Matoanteny Tambinteny Anarana Mpampitohy Anarana Kianteny Matoanteny Mpisolo 
"""Ary noho izany ny lehilahy dia handao ny rainy sy ny reniny ka hikambana amin'ny vadiny; dia ho nofo iray ihany ireo.""",Mpampitohy Mpampitohy Mpisolo Mpanoritra Anarana Kianteny Matoanteny Mpanoritra Anarana Mpampitohy Mpanoritra Anarana Kianteny Matoanteny Mpampiankina Mpanoritra Anarana Mpampitohy Kianteny Anarana Mpamaritra Tambinteny Mpisolo
"""Ary nitanjaka izy mivady, dia ralehilahy sy ny vadiny, nefa tsy nahalala henatra izy.""",Mpampitohy Matoanteny Mpisolo Matoanteny Mpampitohy Anarana Mpampitohy Mpanoritra Anarana Mpampitohy Tambinteny Matoanteny Anarana Mpisolo
"""Ny nanotan'i Adama sy Eva, sy izay nataon'Andriamanitra taminy.""",Mpanoritra Matoanteny Mpanoritra Anarana Mpampitohy Anarana Mpampitohy Mpisolo Matoanteny Anarana Mpampiankina
"""Ary ny menarana dia fetsy noho ny bibi-dia rehetra izay nataon'i Jehovah Andriamanitra.""",Mpampitohy Mpanoritra Anarana Kianteny Mpamaritra Mpampitohy Mpanoritra Anarana Anarana Mpamaritra Mpisolo Matoanteny Mpanoritra Anarana Anarana
"""Ary hoy izy tamin-dravehivavy: Hanky! efa nataon'Andriamanitra hoe: Aza ihinananareo ny hazo rehetra amin'ny saha?""",Mpampitohy Mpamaritra Mpisolo Mpampiankina Anarana Tenim-piotanana Tambinteny Matoanteny Anarana Tambinteny Kianteny Matoanteny Mpanoritra Anarana Mpamaritra Mpampiankina Mpanoritra Anarana
"""Fa hoy ravehivavy tamin'ny menarana: Ny voan'ny hazo eo amin'ny saha dia azonay ihinanana ihany; fa ny voan'ny hazo eo afovoan'ny saha kosa no efa nataon'Andriamanitra hoe: Aza hihinanareo na tendrenareo izany, fandrao maty ianareo.""",Tambinteny Mpamaritra Anarana Mpampiankina Mpanoritra Anarana Mpanoritra Anarana Mpanoritra Anarana Tambinteny Mpampiankina Mpanoritra Anarana Kianteny Matoanteny Matoanteny Tambinteny Tambinteny Mpanoritra Anarana Mpanoritra Anarana Tambinteny Tambinteny Mpanoritra Anarana Mpampitohy Kianteny Tambinteny Matoanteny Anarana Tambinteny Kianteny Matoanteny Kianteny Matoanteny Mpisolo Mpampitohy Matoanteny Mpisolo  
"""Ary hoy ny menarana tamin-dravehivavy: Tsy ho faty tsy akory ianareo; fa fantatr'Andriamanitra fa na amin'izay andro hihinananareo azy dia hahiratra ny masonareo, ka ho tahaka an'Andriamanitra ianareo, hahalala ny tsara sy ny ratsy.""",Mpampitohy Mpamaritra Mpanoritra Anarana Mpampiankina Anarana Tambinteny Kianteny Anarana Tambinteny Tambinteny Mpisolo Tambinteny Matoanteny Anarana Tambinteny Kianteny Mpampiankina Mpisolo Anarana Matoanteny Mpisolo Kianteny Matoanteny Mpanoritra Anarana Kianteny Kianteny Mpamaritra Mpampiankina Anarana Mpisolo Matoanteny Mpanoritra Anarana Mpampitohy Mpanoritra Anarana 
"""Ary hitan-dravehivavy fa tsara ho fihinana ny hazo sady mahafinaritra ny maso ary hazo mahatsiriritra hampahahendry, dia nanotazany ny voany ka nihinanany; ary nomeny koa ny vadiny; ka dia nihinana izy.""",Mpampitohy Matoanteny Anarana Tambinteny Mpamaritra Kianteny Matoanteny Mpanoritra Anarana Mpampitohy Matoanteny Mpanoritra Anarana Mpampitohy Anarana Matoanteny Matoanteny Mpampitohy Matoanteny Mpanoritra Anarana Kianteny Matoanteny Mpampitohy Matoanteny Tambinteny Mpanoritra Anarana Kianteny Kianteny Matoanteny Mpisolo
