Fehezanteny,Firafitra
"""Ary Andriamanitra nanao hoe: Indro, efa nomeko anareo ny anana manintsam-boa rehetra izay ambonin'ny tany rehetra ary ny hazo rehetra izay misy voa sady manintsam-boa; dia ho fihinana anareo ireny.""",L EM EM L F F F F F EM L EM L EM L F
"""Ary ny amin'ny bibi-dia rehetra sy ny voro-manidina rehetra ary ny zava-manan'aina rehetra izay mandady na mikisaka amin'ny tany, dia efa nomeko azy ny zava-maitso rehetra ho fihinany; dia nisy izany.""",F F F F F F F EM EM L EM L F F EM EM
"""Ary hitan'Andriamanitra izay rehetra nataony, ary, indro, tsara indrindra izany.""",EM L EM EM F
"""Dia nisy ny hariva, ary nisy maraina, andro fahenina izany.""",EM L EM L F
"""Ary hitan'Andriamanitra izay rehetra nataony, ary, indro, tsara indrindra izany.""",EM L EM EM L
"""Dia nisy ny hariva, ary nisy maraina, andro fahenina izany.""",EM L EM L F
"""Dia vita ny lanitra sy ny tany sy izay rehetra ao aminy.""",EM L L
"""Ary tamin'ny andro fahafito dia vitan'Andriamanitra ny asa efa nataony; ary dia nitsahatra tamin'ny andro fahafito Izy tamin'ny asany rehetra izay efa nataony.""",F EM L F EM EM F L F EM
"""Ary Andriamanitra nitahy ny andro fahafito sy nanamasina azy, satria tamin'izany no nitsaharan'Andriamanitra tamin'ny asany rehetra izay noforoniny tamin'ny nanaovany azy.""",L EM F EM L EM L F EM EM L
"""Ny saha tao Edena, sy ny toetry ny olombelona fony tsy mbola nanota izy.""",L F L L EM EM EM L 
"""Ary izao no tantaran'ny lanitra sy ny tany tamin'ny namoronana azy, dia tamin'ny nanaovan'i Jehovah Andriamanitra ny tany sy ny lanitra: Ny hazo madinika famboly dia tsy mbola nisy teo amin'ny tany, ary ny anana famboly tsy mbola nisy naniry; fa tsy mbola nampilatsaka ranonorana tambonin'ny tany Jehovah Andriamanitra, ary nisy olona hiasa ny tany; nefa nisy zavona niakatra avy tamin'ny tany ka nandena ny tany rehetra.""",F EM L L EM L EM L L F F L L L EM EM EM F L L EM EM EM EM EM EM EM L F F F EM L EM L EM L EM L EM L
"""Ary vovo-tany no namoronan'i Jehovah Andriamanitra ny olona, ary nofofoniny fofonaina mahavelona ny vavorony; dia tonga olombelona izy.""",F F EM L L F EM L EM L EM L F
"""Ary Jehovah Andriamanitra nanao saha tao Edena tany atsinanana, ka napetrany tao ralehilahy izay noforoniny.""",L L EM F F F EM L EM
"""Ary nisy ony nivoaka avy tao Edena handena ny saha; hatreo izy dia nizara ka nisampana efatra: ny anaran'ny voalohany dia Pisona; io no mandeha manodidina ny tany Havila rehetra, izay misy ny volamena; ary tsara ny volamena amin'izany tany izany; any ny bedola sy ny vato beryla.""",EM L L F F EM EM EM L L L F F F F F
